office,name,total,vote_percent,absentee,early_voting,election_day
mayor,Jose Segarra,1739,38.39%,183,1033,523
mayor,"Riakos ""Rock"" Adams",934,20.62%,87,538,309
mayor,Joseph Solomon,1857,40.99%,106,1233,518
council_at_large,Kelese Richardson,819,7.54%,43,559,217
council_at_large,Beverly Ann Williams,1018,9.37%,75,632,311
council_at_large,Christy Wilbanks,659,6.06%,48,395,216
council_at_large,"Sue ""Neesy"" Croft",494,4.54%,40,310,144
council_at_large,Chet Southworth,430,3.96%,46,249,135
council_at_large,Delsina West,788,7.25%,49,539,200
council_at_large,Olayinka Adelusi,946,8.70%,25,610,311
council_at_large,Shavonn Hull,276,2.54%,8,164,104
council_at_large,Myrna Malic-Banzon,242,2.23%,18,123,101
council_at_large,"John ""Crow"" Miller",520,4.78%,61,315,144
council_at_large,Dominic Quoc Vo,301,2.77%,17,173,111
council_at_large,Mellisa Brown,1122,10.32%,80,660,382
council_at_large,Nicholas Guajardo,755,6.95%,52,439,264
council_at_large,Debbie Nash-King,2478,22.80%,204,1599,675
council_at_large,"Write-In: Macaire ""Mac"" Morrissey",2,0.02%,0,2,0
council_dist_3,C. Cochran,311,28.14%,33,190,88
council_dist_3,David Bass,572,51.76%,47,370,155
council_dist_3,Terry Mustapher,222,20.09%,29,119,74
